face_id,face_age,face_sex,face_eth
X001,24,female,white
X002,24,female,white
X003,38,female,white
X004,30,male,white
X005,28,male,east_asian
X006,31,female,west_asian
X007,21,female,white
X008,25,male,west_asian
X009,22,female,white
X010,26,female,white
X011,36,female,white
X012,24,male,white
X013,26,female,white
X014,23,female,white
X016,23,female,white
X017,34,male,white
X018,19,male,white
X019,24,female,white
X020,35,female,white
X021,48,male,white
X022,29,male,white
X024,47,male,east_asian
X025,21,female,black
X026,24,male,white
X027,26,female,white
X029,26,male,white
X030,24,female,east_asian
X031,,male,white
X032,36,female,white
X033,28,male,white
X034,24,female,east_asian
X036,21,male,eats_asian/white
X037,37,male,west_asian
X038,40,female,west_asian
X039,27,female,white
X041,29,male,white
X042,27,male,black
X043,20,male,black
X044,22,male,black
X045,23,male,east_asian
X061,40,male,black
X062,30,female,black
X063,19,male,white
X064,25,female,west_asian
X066,22,female,west_asian
X067,29,male,east_asian
X068,24,male,white
X069,21,male,white
X070,31,male,west_asian
X081,25,female,white
X082,20,male,black
X083,21,female,white
X086,23,female,white
X087,31,female,east_asian
X090,29,female,white
X091,20,female,white
X092,32,male,white
X094,25,female,white
X096,23,male,black
X097,19,female,white
X099,24,female,black
X100,19,female,white
X101,37,male,white
X102,31,female,white
X103,32,male,white
X104,22,male,white
X105,35,male,white
X107,41,female,white
X108,23,male,white
X112,29,female,white
X113,33,female,white
X114,24,male,black
X115,25,male,west_asian
X117,26,male,white
X118,22,female,white
X119,39,male,east_asian
X120,37,female,white
X121,34,male,white
X122,23,female,white
X123,18,male,white
X124,28,female,white
X125,32,male,white
X126,25,female,black
X127,28,female,east_asian
X128,20,male,white
X129,21,female,black
X130,19,male,white
X131,34,male,white
X132,25,male,white
X134,21,female,white
X135,,female,west_asian
X136,54,female,white
X137,21,male,black
X138,23,male,white
X139,25,female,white
X140,42,male,white
X141,23,male,white
X142,26,male,west_asian
X143,29,male,white
X144,27,female,white
X172,40,male,white
X173,34,male,white
